Code,New code,Area name,Inner/ Outer London,GLA Population Estimate 2014,GLA Household Estimate 2014,Inland Area (Hectares),Population density (per hectare) 2013,"Average Age, 2013","Proportion of population aged 0-15, 2013","Proportion of population of working-age, 2013","Proportion of population aged 65 and over, 2013",% of resident population born abroad (2013),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),% of population from BAME groups (2013),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2013/14)","New migrant (NINo) rates, (2013/14)",Employment rate (%) (2013/14),Male employment rate (2013/14),Female employment rate (2013/14),Unemployment rate (2013/14),Youth Unemployment rate (2013/14),Proportion of 16-18 year olds who are NEET (%) (2013),Proportion of the working-age population who claim benefits (%) (May-2014),% working-age with a disability (2012),Proportion of working age people with no qualifications (%) 2013,Proportion of working age people in London with degree or equivalent and above (%) 2013,"Gross Annual Pay, (2014)",Gross Annual Pay - Male (2014),Gross Annual Pay - Female (2014),% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2013),% of employment that is in public sector (2012),"Jobs Density, 2013","Number of active businesses, 2013",Two-year business survival rates 2012,Crime rates per thousand population 2013/14,Fires per thousand population (2014),Ambulance incidents per hundred population (2014),"Median House Price, 2013","Average Band D Council Tax charge (£), 2014/15",New Homes (net) 2013/14,"Homes Owned outright, (2013) %","Being bought with mortgage or loan, (2013) %","Rented from Local Authority or Housing Association, (2013) %","Rented from Private landlord, (2013) %","% of area that is Greenspace, 2005",Total carbon emissions (2012),"Household Waste Recycling Rate, 2013/14","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2012/13","Average Public Transport Accessibility score, 2012",Indices of Multiple Deprivation 2010 Rank of Average Score,Income Support claimant rate (May-14),% children living in out-of-work families (2013),"Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2012/13","Rates of Children Looked After per 10,000 aged under 18 years (2014)",% of pupils whose first language is not English (2014),"Male life expectancy, (2011-13)","Female life expectancy, (2011-13)",Teenage conception rate (2012),Life satisfaction score 2013-14 (out of 10),Worthwhileness score 2013-14 (out of 10),Happiness score 2013-14 (out of 10),Anxiety score 2013-14 (out of 10),Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,E09000001,City of London,Inner London,"8,000","4,632",290.4,27.5,41.3,7.9,77.5,14.5,.,United States,2.8,France,2.0,Australia,1.9,22.6,17.1,712,125,.,.,.,.,.,5.1,13.7,.,.,65.3,"£54,591","£62,263","£42,904",.,"460,700",5.3, 81.08 ,"17,775",64,.,.,.,"595,000",942,440,.,.,.,.,4.8,"1,499.0",38.8,"1,692",0.4,.,7.6,262,0.5,.,.,87,.,.,.,.,8.2,7.89,7.24,.,,,,,,,,
00AB,E09000002,Barking and Dagenham,Outer London,"201,000","75,327",3610.8,55.7,33.2,26.1,63.8,10.1,35.8,Nigeria,4.7,India,2.3,Pakistan,2.3,45.7,18.7,"4,405",36,63.2,73.2,53.5,13.0,25.5,5.8,7.6,22.6,15.7,21.2,"£32,413","£36,122","£29,147",21,"54,300",22.1, 0.44 ,"5,055",73, 88.71 , 3.08 , 14.00 ,"180,000","1,315",730,15.8,29.1,34.9,17.9,33.6,780.8,24.8,"56,966",0.8,9.3,3.0,22,3.8,27.9,60.2,80,44.7,77.7,82.4,35.4,6.93,7.33,7.04,3.57,Lab,0,100,0,38.2,,,
00AC,E09000003,Barnet,Outer London,"384,600","146,819",8674.8,44.3,36.9,20.9,65.5,13.6,35.9,India,3.1,Poland,2.4,Iran,2.0,37.1,23.4,"9,406",39,72.5,80.0,65.0,5.3,12.1,2.3,8.2,11.8,4.4,43.8,"£31,010","£36,479","£25,640",33,"159,400",20.3, 0.66 ,"23,135",72, 68.72 , 1.65 , 11.29 ,"346,000","1,401","1,110",31.5,29.3,12.9,24.2,41.3,"1,542.0",36.4,"144,717",1.1,10.0,3.0,176,1.6,15.1,71.5,36,43.2,81.9,85.0,14.7,7.39,7.69,7.53,2.61,Cons,51,43,2,41.1,,,
00AD,E09000004,Bexley,Outer London,"236,200","93,859",6058.1,39.0,38.9,20.3,63.1,16.6,16.5,Nigeria,2.6,India,1.5,Ireland,0.9,19.6,6.0,"1,401",9,72.2,79.5,65.1,8.6,16.7,4.2,10.4,20.2,4.8,21.9,"£28,579","£31,374","£23,988",22,"80,300",18.0, 0.54 ,"7,830",77, 52.12 , 2.27 , 11.86 ,"225,000","1,428",530,36.2,36.9,14.6,11.7,31.7,"1,096.0",55.2,"108,507",1.2,7.7,2.5,174,2.2,18.2,66.0,46,14.1,80.3,84.3,25.8,7.26,7.76,7.29,3.4,Cons,71,24,0,not avail,,,
00AE,E09000005,Brent,Outer London,"322,800","114,465",4323.3,74.7,35.3,20.5,68.7,10.8,53.3,India,9.2,Poland,3.4,Ireland,2.9,64.9,37.2,"16,696",77,65.9,75.3,56.0,9.4,19.4,3.0,7.2,18.7,7.9,36.9,"£29,489","£30,862",.,17,"122,400",19.1, 0.56 ,"13,915",74, 85.92 , 1.83 , 12.25 ,"350,000","1,358",730,19.5,24.5,23.0,30.9,21.9,"1,358.2",40.8,"87,802",0.8,12.1,3.7,35,2.1,21.8,62.9,48,62.0,80.0,84.9,19.6,7.31,7.51,7.22,3.15,Lab,10,89,2,33.0,,,
00AF,E09000006,Bromley,Outer London,"318,300","133,606",15013.5,21.2,39.8,19.6,62.9,17.4,15.9,India,1.1,Ireland,1.1,Nigeria,0.7,16.9,5.8,"1,902",10,77.7,83.9,71.8,5.1,28.0,5.8,10.2,16.4,5.8,39.1,"£28,222","£32,423","£25,401",29,"131,600",18.4, 0.66 ,"14,065",77, 63.69 , 2.34 , 11.38 ,"295,650","1,309",150,39.6,37.4,9.7,11.1,57.8,"1,376.1",49.6,"153,908",1.2,11.7,2.7,203,1.8,14.7,73.9,38,10.1,81.3,84.9,24.2,7.5,7.73,7.55,3.18,Cons,85,12,0,not avail,,,
00AG,E09000007,Camden,Inner London,"228,500","99,916",2178.9,104.9,35.8,15.6,73.3,11.1,44.2,United States,2.8,Bangladesh,2.7,Ireland,2.4,34.6,23.5,"8,715",53,64.7,70.7,58.4,7.1,19.3,4.4,4.5,17.0,9.7,53.7,"£36,462","£38,914","£32,970",22,"356,400",13.5, 2.16 ,"27,530",71, 142.96 , 2.71 , 15.06 ,"575,000","1,321",450,16.5,15.5,37.3,29.4,24.8,"1,625.4",29.3,"46,601",0.5,16.2,5.6,74,2.2,24.4,60.4,54,54.3,81.1,86.0,18.1,7.13,7.47,7.23,3.38,Lab,22,74,2,38.7,,,
00AH,E09000008,Croydon,Outer London,"377,200","150,707",8650.4,43.6,36.6,21.6,65.6,12.7,32.8,India,3.6,Jamaica,2.5,Ghana,1.5,47.2,14.5,"5,776",24,73.4,76.9,69.9,9.4,25.4,3.0,10,16.8,6.1,33.0,"£31,228","£33,039","£26,865",27,"129,500",22.1, 0.53 ,"13,515",75, 83.46 , 0.26 , 12.94 ,"240,000","1,470","1,300",26.6,38.8,14.5,18.8,37.1,"1,540.4",42.2,"140,049",1.0,11.8,3.2,107,2.6,20.8,64.4,86,29.1,80.0,83.5,28.6,7.38,7.62,7.31,3.39,Lab,43,57,0,38.0,,,
00AJ,E09000009,Ealing,Outer London,"346,600","127,447",5554.4,62.4,35.6,20.6,68.2,11.1,46.9,India,7.6,Poland,6.4,Ireland,2.3,52.4,33.9,"11,289",49,67.1,75.2,58.2,10.9,39.4,3.3,9.5,17.6,10.6,36.9,"£28,752","£30,651","£26,232",32,"151,600",16.0, 0.65 ,"16,310",77, 87.60 , 2.45 , 14.08 ,"327,000","1,359",770,20.8,30.9,16.2,30.8,30.9,"1,602.8",40.2,"112,845",0.9,16.3,3.3,80,1.9,19.8,60.9,49,59.6,79.9,84.3,22.4,7.28,7.61,7.22,3.37,Lab,17,77,6,41.3,,,
